fips,state,county,votes_dem,votes_gop,total_votes,per_dem,per_gop,per_point_diff
1001,Alabama,Autauga County,7503,19838,27770,0.270183651,0.714368023,0.444184372
1003,Alabama,Baldwin County,24578,83544,109679,0.2240903,0.761713728,0.537623428
1005,Alabama,Barbour County,4816,5622,10518,0.457881727,0.534512265,0.076630538
1007,Alabama,Bibb County,1986,7525,9595,0.206982804,0.784262637,0.577279833
1009,Alabama,Blount County,2640,24711,27588,0.09569378,0.895715528,0.800021749
1011,Alabama,Bullock County,3446,1146,4613,0.747019293,0.248428355,-0.498590939
1013,Alabama,Butler County,3965,5458,9488,0.41789629,0.575252951,0.157356661
1015,Alabama,Calhoun County,15216,35101,50983,0.298452425,0.688484397,0.390031971
1017,Alabama,Chambers County,6365,8753,15284,0.416448574,0.572690395,0.156241822
1019,Alabama,Cherokee County,1624,10583,12301,0.132021787,0.860336558,0.728314771
1021,Alabama,Chilton County,3073,16085,19310,0.159140342,0.832988089,0.673847747
1023,Alabama,Choctaw County,3127,4296,7464,0.418944266,0.575562701,0.156618435
1025,Alabama,Clarke County,5755,7324,13135,0.438142368,0.557594214,0.119451846
1027,Alabama,Clay County,1267,5601,6930,0.182828283,0.808225108,0.625396825
1029,Alabama,Cleburne County,675,6484,7227,0.093399751,0.897191089,0.803791338
1031,Alabama,Coffee County,5076,16899,22275,0.227878788,0.758653199,0.530774411
1033,Alabama,Colbert County,8343,19203,27886,0.299182385,0.688625117,0.389442731
1035,Alabama,Conecuh County,2966,3442,6441,0.460487502,0.53438907,0.073901568
1037,Alabama,Coosa County,1796,3631,5479,0.327797043,0.662712174,0.33491513
1039,Alabama,Covington County,2721,14586,17430,0.156110155,0.836833046,0.680722892
1041,Alabama,Crenshaw County,1700,4864,6617,0.256914009,0.735076319,0.478162309
1043,Alabama,Cullman County,4478,36880,41851,0.106998638,0.881221476,0.774222838
1045,Alabama,Dale County,5170,14303,19738,0.2619313,0.724642821,0.462711521
1047,Alabama,Dallas County,12230,5524,17864,0.684617107,0.309225258,-0.37539185
1049,Alabama,DeKalb County,4281,24767,29356,0.145830495,0.843677613,0.697847118
1051,Alabama,Elmore County,10367,30164,41030,0.252668779,0.735169388,0.482500609
1053,Alabama,Escambia County,4918,10869,15910,0.309113765,0.683155248,0.374041483
1055,Alabama,Etowah County,11567,35528,47728,0.242352497,0.744384847,0.50203235
1057,Alabama,Fayette County,1395,7300,8766,0.159137577,0.832762948,0.673625371
1059,Alabama,Franklin County,2086,10376,12578,0.165845126,0.824932422,0.659087295
1061,Alabama,Geneva County,1595,10848,12545,0.127142288,0.864726983,0.737584695
1063,Alabama,Greene County,3884,875,4775,0.813403141,0.183246073,-0.630157068
1065,Alabama,Hale County,4687,3190,7922,0.591643524,0.402676092,-0.188967432
1067,Alabama,Henry County,2606,6607,9298,0.280275328,0.710582921,0.430307593
1069,Alabama,Houston County,12917,32618,46173,0.279752236,0.706430165,0.426677929
1071,Alabama,Jackson County,3717,19670,23636,0.157260112,0.832205111,0.674944999
1073,Alabama,Jefferson County,181688,138843,325848,0.557585132,0.426097444,-0.131487688
1075,Alabama,Lamar County,978,6174,7193,0.135965522,0.858334492,0.72236897
1077,Alabama,Lauderdale County,11915,31721,44339,0.26872505,0.715419834,0.446694783
1079,Alabama,Lawrence County,3562,12322,16031,0.222194498,0.768635768,0.54644127
1081,Alabama,Lee County,27860,42221,71449,0.38992848,0.590924995,0.200996515
1083,Alabama,Limestone County,13672,34640,49235,0.277688636,0.703564537,0.425875901
1085,Alabama,Lowndes County,4972,1836,6835,0.727432334,0.26861741,-0.458814923
1087,Alabama,Macon County,7108,1541,8723,0.814857274,0.176659406,-0.638197868
1089,Alabama,Madison County,87286,102780,194767,0.448156002,0.527707466,0.079551464
1091,Alabama,Marengo County,5488,5343,10900,0.503486239,0.490183486,-0.013302752
1093,Alabama,Marion County,1463,12205,13807,0.105960745,0.883971898,0.778011154
1095,Alabama,Marshall County,5943,33191,39655,0.149867608,0.836994074,0.687126466
1097,Alabama,Mobile County,79474,101243,183164,0.433895307,0.552745081,0.118849774
1099,Alabama,Monroe County,4455,6147,10668,0.417604049,0.576209224,0.158605174
1101,Alabama,Montgomery County,64529,33311,99139,0.650894199,0.336002986,-0.314891213
1103,Alabama,Morgan County,13234,39664,53722,0.246342281,0.738319497,0.491977216
1105,Alabama,Perry County,3860,1339,5230,0.738049713,0.256022945,-0.482026769
1107,Alabama,Pickens County,4022,5594,9668,0.416011585,0.578609847,0.162598262
1109,Alabama,Pike County,5636,8042,13841,0.407196012,0.581027382,0.173831371
1111,Alabama,Randolph County,2203,8559,10837,0.203285042,0.789794223,0.586509182
1113,Alabama,Russell County,11228,9864,21329,0.526419429,0.462468939,-0.06395049
1115,Alabama,St. Clair County,7744,36166,44441,0.174253505,0.813798069,0.639544565
1117,Alabama,Shelby County,33268,79700,114950,0.289412788,0.693344933,0.403932144
1119,Alabama,Sumter County,4648,1598,6291,0.738833254,0.25401367,-0.484819584
1121,Alabama,Talladega County,13138,22235,35663,0.368393012,0.623475311,0.255082298
1123,Alabama,Tallapoosa County,5859,14963,20991,0.279119623,0.712829308,0.433709685
1125,Alabama,Tuscaloosa County,37765,51117,90172,0.418810717,0.56688329,0.148072572
1127,Alabama,Walker County,4834,26002,31170,0.155085018,0.834199551,0.679114533
1129,Alabama,Washington County,2258,6564,8876,0.254393871,0.739522307,0.485128436
1131,Alabama,Wilcox County,4048,1833,5903,0.685753007,0.310520075,-0.375232932
1133,Alabama,Winston County,974,10195,11284,0.086316909,0.90349167,0.817174761
2901,Alaska,District 1,3477,3511,7360,0.472418478,0.477038043,0.004619565
2902,Alaska,District 2,2104,3674,6161,0.341503003,0.596331764,0.254828762
2903,Alaska,District 3,1903,6076,8385,0.226952892,0.724627311,0.497674419
2904,Alaska,District 4,5345,4690,10587,0.504864456,0.442996127,-0.061868329
2905,Alaska,District 5,4204,4077,8706,0.482885366,0.468297726,-0.014587641
2906,Alaska,District 6,3272,5770,9518,0.3437697,0.606219794,0.262450095
2907,Alaska,District 7,2215,7027,9664,0.229201159,0.727131623,0.497930464
2908,Alaska,District 8,1953,7618,9957,0.196143417,0.765089887,0.56894647
2909,Alaska,District 9,2769,7787,11047,0.250656287,0.704897257,0.45424097
2910,Alaska,District 10,2727,8081,11256,0.242270789,0.717928216,0.475657427
2911,Alaska,District 11,3130,7096,10686,0.292906607,0.664046416,0.371139809
2912,Alaska,District 12,2957,7893,11280,0.26214539,0.699734043,0.437588652
2913,Alaska,District 13,2666,4652,7765,0.34333548,0.599098519,0.255763039
2914,Alaska,District 14,4261,6714,11534,0.369429513,0.582105081,0.212675568
2915,Alaska,District 15,2622,2671,5593,0.468800286,0.477561237,0.008760951
2916,Alaska,District 16,4274,3516,8170,0.523133415,0.430354957,-0.092778458
2917,Alaska,District 17,4136,2810,7271,0.568835098,0.386466786,-0.182368312
2918,Alaska,District 18,4681,2760,7759,0.603299394,0.355715943,-0.247583451
2919,Alaska,District 19,3118,1975,5338,0.5841139,0.36998876,-0.214125141
2920,Alaska,District 20,4881,2383,7544,0.647004242,0.31588017,-0.331124072
2921,Alaska,District 21,5414,3690,9482,0.570976587,0.389158405,-0.181818182
2922,Alaska,District 22,4553,4684,9597,0.474419089,0.488069188,0.013650099
2923,Alaska,District 23,3810,3655,7796,0.48871216,0.468830169,-0.019881991
2924,Alaska,District 24,4736,5378,10484,0.451735979,0.512972148,0.061236169
2925,Alaska,District 25,4600,4407,9369,0.490980894,0.470381044,-0.020599851
2926,Alaska,District 26,4558,5243,20292,0.22462054,0.258377686,0.033757146
2927,Alaska,District 27,4844,4324,19037,0.254451857,0.227136629,-0.027315228
2928,Alaska,District 28,6264,6162,25580,0.244878812,0.240891321,-0.00398749
2929,Alaska,District 29,2985,7464,10784,0.276798961,0.692136499,0.415337537
2930,Alaska,District 30,2638,7180,10226,0.257969881,0.702131821,0.44416194
2931,Alaska,District 31,5037,6971,12481,0.403573432,0.558528964,0.154955532
2932,Alaska,District 32,3506,4440,8361,0.419327832,0.531036957,0.111709126
2933,Alaska,District 33,7535,3059,11016,0.684005084,0.277687001,-0.406318083
2934,Alaska,District 34,5763,4543,10794,0.533907727,0.420881971,-0.113025755
2935,Alaska,District 35,5011,4769,10149,0.493743226,0.469898512,-0.023844714
2936,Alaska,District 36,3796,5114,9292,0.408523461,0.550365906,0.141842445
2937,Alaska,District 37,2560,2358,5168,0.495356037,0.45626935,-0.039086687
2938,Alaska,District 38,3202,1737,5299,0.604264956,0.327797698,-0.276467258
2939,Alaska,District 39,3580,1939,5930,0.603709949,0.32698145,-0.276728499
2940,Alaska,District 40,2318,1994,4628,0.500864304,0.430855661,-0.070008643
4001,Arizona,Apache County,23293,11442,35183,0.662052696,0.325213882,-0.336838814
4003,Arizona,Cochise County,23732,35557,60473,0.392439601,0.587981413,0.195541812
4005,Arizona,Coconino County,44698,27052,73346,0.60941292,0.368827203,-0.240585717
4007,Arizona,Gila County,8943,18377,27678,0.323108606,0.663956933,0.340848327
4009,Arizona,Graham County,4034,10749,14996,0.269005068,0.716791144,0.447786076
4011,Arizona,Greenlee County,1182,2433,3688,0.320498915,0.659707158,0.339208243
4012,Arizona,La Paz County,2236,5129,7460,0.299731903,0.687533512,0.387801609
4013,Arizona,Maricopa County,1040774,995665,2069475,0.502916923,0.481119608,-0.021797316
4015,Arizona,Mohave County,24831,78535,104705,0.237151998,0.750059692,0.512907693
4017,Arizona,Navajo County,23383,27657,51783,0.451557461,0.534094201,0.08253674
4019,Arizona,Pima County,304981,207758,520735,0.585674095,0.398970686,-0.18670341
4021,Arizona,Pinal County,75106,107077,185037,0.405897199,0.578678859,0.17278166
4023,Arizona,Santa Cruz County,13138,6194,19561,0.671642554,0.316650478,-0.354992076
4025,Arizona,Yavapai County,49602,91527,143280,0.34618928,0.638798157,0.292608878
4027,Arizona,Yuma County,32210,36534,69926,0.460629809,0.522466608,0.061836799
5001,Arkansas,Arkansas County,1818,4304,6292,0.288938334,0.684043229,0.395104895
5003,Arkansas,Ashley County,2125,5548,7926,0.268104971,0.699974767,0.431869796
5005,Arkansas,Baxter County,4635,15836,21007,0.220640739,0.753843957,0.533203218
5007,Arkansas,Benton County,42249,73965,119912,0.352333378,0.61682734,0.264493962
5009,Arkansas,Boone County,3064,13652,17114,0.179034708,0.797709478,0.618674769
5011,Arkansas,Bradley County,1214,2335,3654,0.332238643,0.639025725,0.306787083
5013,Arkansas,Calhoun County,479,1636,2182,0.219523373,0.749770852,0.530247479
5015,Arkansas,Carroll County,4023,7424,11797,0.341018903,0.629312537,0.288293634
5017,Arkansas,Chicot County,2260,1752,4103,0.550816476,0.427004631,-0.123811845
5019,Arkansas,Clark County,3438,4616,8395,0.409529482,0.549851102,0.14032162
5021,Arkansas,Clay County,962,4086,5183,0.185606791,0.788346517,0.602739726
5023,Arkansas,Cleburne County,1988,10328,12680,0.156782334,0.814511041,0.657728707
5025,Arkansas,Cleveland County,651,2867,3600,0.180833333,0.796388889,0.615555556
5027,Arkansas,Columbia County,2814,5500,8616,0.326601671,0.638347261,0.31174559
5029,Arkansas,Conway County,2615,5694,8685,0.30109384,0.655613126,0.354519286
5031,Arkansas,Craighead County,11921,25558,38511,0.309547921,0.66365454,0.354106619
5033,Arkansas,Crawford County,4959,18607,24091,0.205844506,0.772363123,0.566518617
5035,Arkansas,Crittenden County,8514,7333,16367,0.520193071,0.448035682,-0.07215739
5037,Arkansas,Cross County,1772,4946,6942,0.255257851,0.712474791,0.45721694
5039,Arkansas,Dallas County,963,1573,2649,0.363533409,0.593808985,0.230275576
5041,Arkansas,Desha County,2016,1921,4164,0.484149856,0.461335255,-0.022814601
5043,Arkansas,Drew County,2426,4349,6908,0.35118703,0.629559931,0.278372901
5045,Arkansas,Faulkner County,18347,34421,54428,0.337087528,0.632413464,0.295325935
5047,Arkansas,Franklin County,1300,5677,7129,0.182353766,0.79632487,0.613971104
5049,Arkansas,Fulton County,1035,3961,5119,0.202187927,0.773783942,0.571596015
5051,Arkansas,Garland County,14045,29069,44199,0.31776737,0.657684563,0.339917193
5053,Arkansas,Grant County,1268,6794,8200,0.154634146,0.828536585,0.673902439
5055,Arkansas,Greene County,3058,12670,16100,0.189937888,0.786956522,0.597018634
5057,Arkansas,Hempstead County,2138,4470,6848,0.312207944,0.652745327,0.340537383
5059,Arkansas,Hot Spring County,3082,9202,12557,0.24544079,0.732818348,0.487377558
5061,Arkansas,Howard County,1340,3367,4834,0.277203144,0.696524617,0.419321473
5063,Arkansas,Independence County,2806,11250,14512,0.193357222,0.775220507,0.581863286
5065,Arkansas,Izard County,1021,4631,5810,0.175731497,0.79707401,0.621342513
5067,Arkansas,Jackson County,1365,3593,5091,0.268120212,0.705755254,0.437635042
5069,Arkansas,Jefferson County,14981,9521,25158,0.595476588,0.378448207,-0.217028381
5071,Arkansas,Johnson County,2283,6938,9498,0.240366393,0.730469573,0.49010318
5073,Arkansas,Lafayette County,839,1757,2679,0.313176558,0.655841732,0.342665174
5075,Arkansas,Lawrence County,1080,4569,5857,0.184394741,0.780092197,0.595697456
5077,Arkansas,Lee County,1423,1286,2848,0.499648876,0.451544944,-0.048103933
5079,Arkansas,Lincoln County,1032,2729,3875,0.266322581,0.704258065,0.437935484
5081,Arkansas,Little River County,1226,3715,5177,0.236816689,0.717597064,0.480780375
5083,Arkansas,Logan County,1544,6441,8225,0.187720365,0.783100304,0.595379939
5085,Arkansas,Lonoke County,6686,22884,30662,0.218054921,0.746330963,0.528276042
5087,Arkansas,Madison County,1563,5658,7351,0.212624133,0.769691198,0.557067066
5089,Arkansas,Marion County,1531,5783,7503,0.204051713,0.770758363,0.566706651
5091,Arkansas,Miller County,4245,11920,16529,0.256821344,0.721156755,0.46433541
5093,Arkansas,Mississippi County,4558,7296,12342,0.369308054,0.591152163,0.22184411
5095,Arkansas,Monroe County,1147,1545,2816,0.407315341,0.548650568,0.141335227
5097,Arkansas,Montgomery County,731,3046,3873,0.188742577,0.786470436,0.59772786
5099,Arkansas,Nevada County,1076,2133,3358,0.320428827,0.635199524,0.314770697
5101,Arkansas,Newton County,709,3192,3998,0.177338669,0.7983992,0.62106053
5103,Arkansas,Ouachita County,3995,5294,9629,0.414892512,0.549797487,0.134904975
5105,Arkansas,Perry County,1012,3479,4627,0.218716231,0.751891074,0.533174843
